alpha	precision	recall	pred.col	F1
Inf	NA	0	ABC.ABC.Score	NA
0.077682	1	0.142857142857143	ABC.ABC.Score	0.25
0.061234	1	0.285714285714286	ABC.ABC.Score	0.444444444444444
0.048361	0.666666666666667	0.285714285714286	ABC.ABC.Score	0.4
0.042696	0.5	0.285714285714286	ABC.ABC.Score	0.363636363636364
0.036838	0.6	0.428571428571429	ABC.ABC.Score	0.5
0.034172	0.5	0.428571428571429	ABC.ABC.Score	0.461538461538461
0.028852	0.428571428571429	0.428571428571429	ABC.ABC.Score	0.428571428571429
0.027118	0.5	0.571428571428571	ABC.ABC.Score	0.533333333333333
0.0224	0.444444444444444	0.571428571428571	ABC.ABC.Score	0.5
0.021591	0.5	0.714285714285714	ABC.ABC.Score	0.588235294117647
0.019471	0.545454545454545	0.857142857142857	ABC.ABC.Score	0.666666666666667
0.017057	0.5	0.857142857142857	ABC.ABC.Score	0.631578947368421
0.016977	0.461538461538462	0.857142857142857	ABC.ABC.Score	0.6
0.014407	0.428571428571429	0.857142857142857	ABC.ABC.Score	0.571428571428571
0.013801	0.4	0.857142857142857	ABC.ABC.Score	0.545454545454545
0.011788	0.4375	1	ABC.ABC.Score	0.608695652173913
0.011137	0.411764705882353	1	ABC.ABC.Score	0.583333333333333
0.010395	0.388888888888889	1	ABC.ABC.Score	0.56
0.009943	0.368421052631579	1	ABC.ABC.Score	0.538461538461538
0.009544	0.35	1	ABC.ABC.Score	0.518518518518518
0.006804	0.333333333333333	1	ABC.ABC.Score	0.5
0.006609	0.318181818181818	1	ABC.ABC.Score	0.482758620689655
0.006484	0.304347826086957	1	ABC.ABC.Score	0.466666666666667
0.005918	0.291666666666667	1	ABC.ABC.Score	0.451612903225806
0.00555	0.28	1	ABC.ABC.Score	0.4375
0.005326	0.269230769230769	1	ABC.ABC.Score	0.424242424242424
0.005307	0.259259259259259	1	ABC.ABC.Score	0.411764705882353
0.005004	0.25	1	ABC.ABC.Score	0.4
0.003979	0.241379310344828	1	ABC.ABC.Score	0.388888888888889
0.003937	0.233333333333333	1	ABC.ABC.Score	0.378378378378378
0.003555	0.225806451612903	1	ABC.ABC.Score	0.368421052631579
0.003502	0.21875	1	ABC.ABC.Score	0.358974358974359
0.003468	0.212121212121212	1	ABC.ABC.Score	0.35
