alpha	precision	recall	pred.col	F1
Inf	NA	0	ABC.ABC.Score	NA
0.083942	0	0	ABC.ABC.Score	0
0.069625	0.5	0.166666666666667	ABC.ABC.Score	0.25
0.069392	0.666666666666667	0.333333333333333	ABC.ABC.Score	0.444444444444444
0.061247	0.75	0.5	ABC.ABC.Score	0.6
0.03625	0.8	0.666666666666667	ABC.ABC.Score	0.727272727272727
0.025319	0.833333333333333	0.833333333333333	ABC.ABC.Score	0.833333333333333
0.018189	0.714285714285714	0.833333333333333	ABC.ABC.Score	0.769230769230769
0.016792	0.625	0.833333333333333	ABC.ABC.Score	0.714285714285714
0.015816	0.555555555555556	0.833333333333333	ABC.ABC.Score	0.666666666666667
0.015561	0.5	0.833333333333333	ABC.ABC.Score	0.625
0.013626	0.454545454545455	0.833333333333333	ABC.ABC.Score	0.588235294117647
0.012407	0.416666666666667	0.833333333333333	ABC.ABC.Score	0.555555555555556
0.012066	0.384615384615385	0.833333333333333	ABC.ABC.Score	0.526315789473684
0.01167	0.357142857142857	0.833333333333333	ABC.ABC.Score	0.5
0.011239	0.333333333333333	0.833333333333333	ABC.ABC.Score	0.476190476190476
0.01122	0.3125	0.833333333333333	ABC.ABC.Score	0.454545454545455
0.011165	0.294117647058824	0.833333333333333	ABC.ABC.Score	0.434782608695652
0.010193	0.277777777777778	0.833333333333333	ABC.ABC.Score	0.416666666666667
0.00938	0.263157894736842	0.833333333333333	ABC.ABC.Score	0.4
0.009031	0.25	0.833333333333333	ABC.ABC.Score	0.384615384615385
0.008092	0.238095238095238	0.833333333333333	ABC.ABC.Score	0.37037037037037
0.007732	0.227272727272727	0.833333333333333	ABC.ABC.Score	0.357142857142857
0.006814	0.217391304347826	0.833333333333333	ABC.ABC.Score	0.344827586206897
0.006672	0.208333333333333	0.833333333333333	ABC.ABC.Score	0.333333333333333
0.006106	0.2	0.833333333333333	ABC.ABC.Score	0.32258064516129
0.00606	0.230769230769231	1	ABC.ABC.Score	0.375
0.005836	0.222222222222222	1	ABC.ABC.Score	0.363636363636364
0.004151	0.214285714285714	1	ABC.ABC.Score	0.352941176470588
0.004112	0.206896551724138	1	ABC.ABC.Score	0.342857142857143
0.003996	0.2	1	ABC.ABC.Score	0.333333333333333
0.003474	0.193548387096774	1	ABC.ABC.Score	0.324324324324324
0.003394	0.1875	1	ABC.ABC.Score	0.315789473684211
0.003168	0.181818181818182	1	ABC.ABC.Score	0.307692307692308
0.003038	0.176470588235294	1	ABC.ABC.Score	0.3
0.002528	0.171428571428571	1	ABC.ABC.Score	0.292682926829268
