alpha	precision	recall	pred.col	F1
Inf	NA	0	ABC.ABC.Score	NA
0.053861	1	0.1	ABC.ABC.Score	0.181818181818182
0.047429	0.5	0.1	ABC.ABC.Score	0.166666666666667
0.04298	0.666666666666667	0.2	ABC.ABC.Score	0.307692307692308
0.022234	0.5	0.2	ABC.ABC.Score	0.285714285714286
0.021882	0.4	0.2	ABC.ABC.Score	0.266666666666667
0.02042	0.5	0.3	ABC.ABC.Score	0.375
0.019242	0.428571428571429	0.3	ABC.ABC.Score	0.352941176470588
0.014487	0.5	0.4	ABC.ABC.Score	0.444444444444444
0.011903	0.444444444444444	0.4	ABC.ABC.Score	0.421052631578947
0.011264	0.5	0.5	ABC.ABC.Score	0.5
0.011206	0.454545454545455	0.5	ABC.ABC.Score	0.476190476190476
0.010966	0.5	0.6	ABC.ABC.Score	0.545454545454545
0.010233	0.461538461538462	0.6	ABC.ABC.Score	0.521739130434783
0.009826	0.5	0.7	ABC.ABC.Score	0.583333333333333
0.009317	0.466666666666667	0.7	ABC.ABC.Score	0.56
0.009191	0.4375	0.7	ABC.ABC.Score	0.538461538461538
0.009113	0.411764705882353	0.7	ABC.ABC.Score	0.518518518518518
0.008227	0.388888888888889	0.7	ABC.ABC.Score	0.5
0.007967	0.368421052631579	0.7	ABC.ABC.Score	0.482758620689655
0.007535	0.35	0.7	ABC.ABC.Score	0.466666666666667
0.007045	0.333333333333333	0.7	ABC.ABC.Score	0.451612903225806
0.006744	0.318181818181818	0.7	ABC.ABC.Score	0.4375
0.005869	0.304347826086957	0.7	ABC.ABC.Score	0.424242424242424
0.005231	0.291666666666667	0.7	ABC.ABC.Score	0.411764705882353
0.005063	0.28	0.7	ABC.ABC.Score	0.4
0.00422	0.269230769230769	0.7	ABC.ABC.Score	0.388888888888889
0.00374	0.259259259259259	0.7	ABC.ABC.Score	0.378378378378378
0.003527	0.25	0.7	ABC.ABC.Score	0.368421052631579
0.003525	0.241379310344828	0.7	ABC.ABC.Score	0.358974358974359
0.003098	0.233333333333333	0.7	ABC.ABC.Score	0.35
0.003081	0.225806451612903	0.7	ABC.ABC.Score	0.341463414634146
0.003013	0.21875	0.7	ABC.ABC.Score	0.333333333333333
0.002432	0.212121212121212	0.7	ABC.ABC.Score	0.325581395348837
0.002375	0.205882352941176	0.7	ABC.ABC.Score	0.318181818181818
0.002266	0.228571428571429	0.8	ABC.ABC.Score	0.355555555555556
0.002239	0.222222222222222	0.8	ABC.ABC.Score	0.347826086956522
0.002193	0.216216216216216	0.8	ABC.ABC.Score	0.340425531914894
0.002166	0.210526315789474	0.8	ABC.ABC.Score	0.333333333333333
0.002148	0.205128205128205	0.8	ABC.ABC.Score	0.326530612244898
0.002064	0.2	0.8	ABC.ABC.Score	0.32
0.001989	0.219512195121951	0.9	ABC.ABC.Score	0.352941176470588
0.00197	0.214285714285714	0.9	ABC.ABC.Score	0.346153846153846
0.001925	0.209302325581395	0.9	ABC.ABC.Score	0.339622641509434
0.001442	0.204545454545455	0.9	ABC.ABC.Score	0.333333333333333
0.00144	0.2	0.9	ABC.ABC.Score	0.327272727272727
0.001401	0.195652173913043	0.9	ABC.ABC.Score	0.321428571428571
0.001322	0.191489361702128	0.9	ABC.ABC.Score	0.315789473684211
0.001028	0.1875	0.9	ABC.ABC.Score	0.310344827586207
0.000911	0.183673469387755	0.9	ABC.ABC.Score	0.305084745762712
0.000681	0.18	0.9	ABC.ABC.Score	0.3
0.000644	0.176470588235294	0.9	ABC.ABC.Score	0.295081967213115
0.000614	0.173076923076923	0.9	ABC.ABC.Score	0.290322580645161
0.000611	0.169811320754717	0.9	ABC.ABC.Score	0.285714285714286
0.000554	0.166666666666667	0.9	ABC.ABC.Score	0.28125
0.000544	0.163636363636364	0.9	ABC.ABC.Score	0.276923076923077
0.000523	0.160714285714286	0.9	ABC.ABC.Score	0.272727272727273
0.000516	0.157894736842105	0.9	ABC.ABC.Score	0.26865671641791
0.000509	0.155172413793103	0.9	ABC.ABC.Score	0.264705882352941
0.000508	0.152542372881356	0.9	ABC.ABC.Score	0.260869565217391
0.000502	0.15	0.9	ABC.ABC.Score	0.257142857142857
0.000396	0.147540983606557	0.9	ABC.ABC.Score	0.253521126760563
0.000381	0.145161290322581	0.9	ABC.ABC.Score	0.25
0.000378	0.142857142857143	0.9	ABC.ABC.Score	0.246575342465753
0.000374	0.140625	0.9	ABC.ABC.Score	0.243243243243243
0.000357	0.138461538461538	0.9	ABC.ABC.Score	0.24
0.000329	0.136363636363636	0.9	ABC.ABC.Score	0.236842105263158
0.000312	0.134328358208955	0.9	ABC.ABC.Score	0.233766233766234
0.000204	0.132352941176471	0.9	ABC.ABC.Score	0.230769230769231
0	0.12987012987013	1	ABC.ABC.Score	0.229885057471264
Inf	NA	0	hardcode.distance	NA
-12957	1	0.1	hardcode.distance	0.181818181818182
-15539	1	0.2	hardcode.distance	0.333333333333333
-18387	1	0.3	hardcode.distance	0.461538461538461
-24049	1	0.4	hardcode.distance	0.571428571428571
-26096	1	0.5	hardcode.distance	0.666666666666667
-26675.5	0.833333333333333	0.5	hardcode.distance	0.625
-27158	0.857142857142857	0.6	hardcode.distance	0.705882352941176
-29558	0.875	0.7	hardcode.distance	0.777777777777778
-43602	0.888888888888889	0.8	hardcode.distance	0.842105263157895
-48582	0.8	0.8	hardcode.distance	0.8
-52120	0.727272727272727	0.8	hardcode.distance	0.761904761904762
-53325.5	0.666666666666667	0.8	hardcode.distance	0.727272727272727
-56984	0.615384615384615	0.8	hardcode.distance	0.695652173913043
-60869	0.642857142857143	0.9	hardcode.distance	0.75
-64629	0.6	0.9	hardcode.distance	0.72
-66013	0.5625	0.9	hardcode.distance	0.692307692307692
-72580	0.529411764705882	0.9	hardcode.distance	0.666666666666667
-73002	0.5	0.9	hardcode.distance	0.642857142857143
-80681	0.473684210526316	0.9	hardcode.distance	0.620689655172414
-85999	0.45	0.9	hardcode.distance	0.6
-97043	0.428571428571429	0.9	hardcode.distance	0.580645161290323
-97333	0.409090909090909	0.9	hardcode.distance	0.5625
-98285.5	0.391304347826087	0.9	hardcode.distance	0.545454545454546
-98865	0.416666666666667	1	hardcode.distance	0.588235294117647
-105125	0.4	1	hardcode.distance	0.571428571428571
-116844	0.384615384615385	1	hardcode.distance	0.555555555555556
-120157	0.37037037037037	1	hardcode.distance	0.54054054054054
-126191	0.357142857142857	1	hardcode.distance	0.526315789473684
-140305	0.344827586206897	1	hardcode.distance	0.512820512820513
-140611	0.333333333333333	1	hardcode.distance	0.5
-143755	0.32258064516129	1	hardcode.distance	0.487804878048781
