alpha	precision	recall	pred.col	F1
Inf	NA	0	ABC.ABC.Score	NA
0.405871	1	0.005	ABC.ABC.Score	0.00995024875621891
0.317516	1	0.01	ABC.ABC.Score	0.0198019801980198
0.271526	1	0.02	ABC.ABC.Score	0.0392156862745098
0.211993	1	0.025	ABC.ABC.Score	0.0487804878048781
0.208423	1	0.03	ABC.ABC.Score	0.058252427184466
0.19954	1	0.035	ABC.ABC.Score	0.0676328502415459
0.175227	1	0.04	ABC.ABC.Score	0.0769230769230769
0.154061	1	0.045	ABC.ABC.Score	0.0861244019138756
0.131014	1	0.05	ABC.ABC.Score	0.0952380952380952
0.127193	1	0.055	ABC.ABC.Score	0.104265402843602
0.122838	1	0.06	ABC.ABC.Score	0.113207547169811
0.116294	1	0.065	ABC.ABC.Score	0.122065727699531
0.115792	1	0.07	ABC.ABC.Score	0.130841121495327
0.108284	1	0.075	ABC.ABC.Score	0.13953488372093
0.101249	1	0.08	ABC.ABC.Score	0.148148148148148
0.100855	1	0.085	ABC.ABC.Score	0.15668202764977
0.096098	1	0.09	ABC.ABC.Score	0.165137614678899
0.092699	1	0.095	ABC.ABC.Score	0.17351598173516
0.092345	1	0.1	ABC.ABC.Score	0.181818181818182
0.088903	0.952380952380952	0.1	ABC.ABC.Score	0.180995475113122
0.083942	0.909090909090909	0.1	ABC.ABC.Score	0.18018018018018
0.077682	0.91304347826087	0.105	ABC.ABC.Score	0.188340807174888
0.074702	0.916666666666667	0.11	ABC.ABC.Score	0.196428571428571
0.072567	0.92	0.115	ABC.ABC.Score	0.204444444444444
0.071664	0.923076923076923	0.12	ABC.ABC.Score	0.212389380530973
0.069625	0.925925925925926	0.125	ABC.ABC.Score	0.220264317180617
0.069555	0.928571428571429	0.13	ABC.ABC.Score	0.228070175438597
0.069392	0.931034482758621	0.135	ABC.ABC.Score	0.235807860262009
0.067592	0.933333333333333	0.14	ABC.ABC.Score	0.243478260869565
0.066507	0.935483870967742	0.145	ABC.ABC.Score	0.251082251082251
0.065676	0.9375	0.15	ABC.ABC.Score	0.258620689655172
0.064709	0.939393939393939	0.155	ABC.ABC.Score	0.266094420600858
0.063954	0.911764705882353	0.155	ABC.ABC.Score	0.264957264957265
0.063637	0.914285714285714	0.16	ABC.ABC.Score	0.272340425531915
0.063378	0.888888888888889	0.16	ABC.ABC.Score	0.271186440677966
0.06316	0.864864864864865	0.16	ABC.ABC.Score	0.270042194092827
0.061247	0.868421052631579	0.165	ABC.ABC.Score	0.277310924369748
0.061234	0.871794871794872	0.17	ABC.ABC.Score	0.284518828451883
0.061145	0.85	0.17	ABC.ABC.Score	0.283333333333333
0.05993	0.853658536585366	0.175	ABC.ABC.Score	0.29045643153527
0.059744	0.857142857142857	0.18	ABC.ABC.Score	0.297520661157025
0.058867	0.86046511627907	0.185	ABC.ABC.Score	0.304526748971193
0.058766	0.863636363636364	0.19	ABC.ABC.Score	0.311475409836066
0.058503	0.866666666666667	0.195	ABC.ABC.Score	0.318367346938776
0.056499	0.869565217391304	0.2	ABC.ABC.Score	0.32520325203252
0.054671	0.872340425531915	0.205	ABC.ABC.Score	0.331983805668016
0.054188	0.875	0.21	ABC.ABC.Score	0.338709677419355
0.054	0.857142857142857	0.21	ABC.ABC.Score	0.337349397590361
0.053861	0.86	0.215	ABC.ABC.Score	0.344
0.053601	0.862745098039216	0.22	ABC.ABC.Score	0.350597609561753
0.053119	0.865384615384615	0.225	ABC.ABC.Score	0.357142857142857
0.053097	0.867924528301887	0.23	ABC.ABC.Score	0.363636363636364
0.05274	0.851851851851852	0.23	ABC.ABC.Score	0.362204724409449
0.052414	0.854545454545454	0.235	ABC.ABC.Score	0.368627450980392
0.051351	0.857142857142857	0.24	ABC.ABC.Score	0.375
0.050743	0.859649122807018	0.245	ABC.ABC.Score	0.381322957198444
0.050356	0.862068965517241	0.25	ABC.ABC.Score	0.387596899224806
0.049489	0.864406779661017	0.255	ABC.ABC.Score	0.393822393822394
0.048453	0.866666666666667	0.26	ABC.ABC.Score	0.4
0.048361	0.852459016393443	0.26	ABC.ABC.Score	0.398467432950192
0.047875	0.854838709677419	0.265	ABC.ABC.Score	0.404580152671756
0.047508	0.857142857142857	0.27	ABC.ABC.Score	0.4106463878327
0.047429	0.84375	0.27	ABC.ABC.Score	0.409090909090909
0.047425	0.846153846153846	0.275	ABC.ABC.Score	0.415094339622641
0.045731	0.848484848484849	0.28	ABC.ABC.Score	0.421052631578947
0.045585	0.850746268656716	0.285	ABC.ABC.Score	0.426966292134831
0.045071	0.852941176470588	0.29	ABC.ABC.Score	0.432835820895522
0.04387	0.855072463768116	0.295	ABC.ABC.Score	0.438661710037175
0.043486	0.842857142857143	0.295	ABC.ABC.Score	0.437037037037037
0.043387	0.845070422535211	0.3	ABC.ABC.Score	0.44280442804428
0.043241	0.833333333333333	0.3	ABC.ABC.Score	0.441176470588235
0.04298	0.835616438356164	0.305	ABC.ABC.Score	0.446886446886447
0.042696	0.824324324324324	0.305	ABC.ABC.Score	0.445255474452555
0.042648	0.826666666666667	0.31	ABC.ABC.Score	0.450909090909091
0.042225	0.815789473684211	0.31	ABC.ABC.Score	0.449275362318841
0.041027	0.818181818181818	0.315	ABC.ABC.Score	0.454873646209386
0.040986	0.82051282051282	0.32	ABC.ABC.Score	0.460431654676259
0.03976	0.822784810126582	0.325	ABC.ABC.Score	0.46594982078853
0.039714	0.825	0.33	ABC.ABC.Score	0.471428571428571
0.039266	0.827160493827161	0.335	ABC.ABC.Score	0.476868327402135
0.039001	0.829268292682927	0.34	ABC.ABC.Score	0.482269503546099
0.038596	0.831325301204819	0.345	ABC.ABC.Score	0.487632508833922
0.038268	0.811764705882353	0.345	ABC.ABC.Score	0.484210526315789
0.038227	0.813953488372093	0.35	ABC.ABC.Score	0.48951048951049
0.038109	0.816091954022989	0.355	ABC.ABC.Score	0.494773519163763
0.037537	0.818181818181818	0.36	ABC.ABC.Score	0.5
0.037195	0.820224719101124	0.365	ABC.ABC.Score	0.505190311418685
0.036917	0.822222222222222	0.37	ABC.ABC.Score	0.510344827586207
0.036838	0.824175824175824	0.375	ABC.ABC.Score	0.515463917525773
0.036736	0.826086956521739	0.38	ABC.ABC.Score	0.520547945205479
0.03625	0.827956989247312	0.385	ABC.ABC.Score	0.525597269624573
0.034975	0.829787234042553	0.39	ABC.ABC.Score	0.530612244897959
0.034434	0.821052631578947	0.39	ABC.ABC.Score	0.528813559322034
0.03435	0.822916666666667	0.395	ABC.ABC.Score	0.533783783783784
0.034172	0.814432989690722	0.395	ABC.ABC.Score	0.531986531986532
0.033644	0.816326530612245	0.4	ABC.ABC.Score	0.536912751677852
0.033099	0.818181818181818	0.405	ABC.ABC.Score	0.54180602006689
0.032884	0.82	0.41	ABC.ABC.Score	0.546666666666667
0.032327	0.821782178217822	0.415	ABC.ABC.Score	0.551495016611296
0.032301	0.823529411764706	0.42	ABC.ABC.Score	0.556291390728477
0.031887	0.815533980582524	0.42	ABC.ABC.Score	0.554455445544554
0.031722	0.817307692307692	0.425	ABC.ABC.Score	0.559210526315789
0.031284	0.819047619047619	0.43	ABC.ABC.Score	0.563934426229508
0.031273	0.811320754716981	0.43	ABC.ABC.Score	0.562091503267974
0.031057	0.813084112149533	0.435	ABC.ABC.Score	0.566775244299674
0.030882	0.814814814814815	0.44	ABC.ABC.Score	0.571428571428571
0.03052	0.807339449541284	0.44	ABC.ABC.Score	0.56957928802589
0.030342	0.792792792792793	0.44	ABC.ABC.Score	0.565916398713826
0.030312	0.794642857142857	0.445	ABC.ABC.Score	0.57051282051282
0.0302	0.787610619469027	0.445	ABC.ABC.Score	0.568690095846645
0.030144	0.789473684210526	0.45	ABC.ABC.Score	0.573248407643312
0.029962	0.782608695652174	0.45	ABC.ABC.Score	0.571428571428571
0.029659	0.78448275862069	0.455	ABC.ABC.Score	0.575949367088608
0.02951	0.777777777777778	0.455	ABC.ABC.Score	0.574132492113565
0.029253	0.779661016949153	0.46	ABC.ABC.Score	0.578616352201258
0.029144	0.773109243697479	0.46	ABC.ABC.Score	0.576802507836991
0.029088	0.766666666666667	0.46	ABC.ABC.Score	0.575
0.028852	0.760330578512397	0.46	ABC.ABC.Score	0.573208722741433
0.028821	0.754098360655738	0.46	ABC.ABC.Score	0.571428571428571
0.02879	0.747967479674797	0.46	ABC.ABC.Score	0.569659442724458
0.028695	0.75	0.465	ABC.ABC.Score	0.574074074074074
0.02861	0.752	0.47	ABC.ABC.Score	0.578461538461538
0.027493	0.746031746031746	0.47	ABC.ABC.Score	0.576687116564417
0.027367	0.748031496062992	0.475	ABC.ABC.Score	0.581039755351682
0.027118	0.75	0.48	ABC.ABC.Score	0.585365853658537
0.026922	0.751937984496124	0.485	ABC.ABC.Score	0.589665653495441
0.026829	0.746153846153846	0.485	ABC.ABC.Score	0.587878787878788
0.026772	0.740458015267176	0.485	ABC.ABC.Score	0.586102719033233
0.026583	0.734848484848485	0.485	ABC.ABC.Score	0.58433734939759
0.026477	0.729323308270677	0.485	ABC.ABC.Score	0.582582582582583
0.025925	0.723880597014925	0.485	ABC.ABC.Score	0.580838323353293
0.025319	0.725925925925926	0.49	ABC.ABC.Score	0.585074626865672
0.024972	0.720588235294118	0.49	ABC.ABC.Score	0.583333333333333
0.024834	0.715328467153285	0.49	ABC.ABC.Score	0.58160237388724
0.024688	0.710144927536232	0.49	ABC.ABC.Score	0.579881656804734
0.024594	0.705035971223022	0.49	ABC.ABC.Score	0.578171091445428
0.024301	0.7	0.49	ABC.ABC.Score	0.576470588235294
0.024286	0.695035460992908	0.49	ABC.ABC.Score	0.574780058651026
0.02407	0.690140845070423	0.49	ABC.ABC.Score	0.573099415204678
0.023916	0.692307692307692	0.495	ABC.ABC.Score	0.577259475218659
0.023865	0.694444444444444	0.5	ABC.ABC.Score	0.581395348837209
0.02383	0.689655172413793	0.5	ABC.ABC.Score	0.579710144927536
0.023819	0.691780821917808	0.505	ABC.ABC.Score	0.583815028901734
0.023525	0.682432432432432	0.505	ABC.ABC.Score	0.580459770114943
0.023097	0.677852348993289	0.505	ABC.ABC.Score	0.578796561604584
0.022997	0.682119205298013	0.515	ABC.ABC.Score	0.586894586894587
0.022873	0.677631578947368	0.515	ABC.ABC.Score	0.585227272727273
0.0224	0.673202614379085	0.515	ABC.ABC.Score	0.58356940509915
0.022348	0.675324675324675	0.52	ABC.ABC.Score	0.587570621468927
0.022247	0.670967741935484	0.52	ABC.ABC.Score	0.585915492957746
0.02224	0.666666666666667	0.52	ABC.ABC.Score	0.584269662921348
0.022234	0.662420382165605	0.52	ABC.ABC.Score	0.582633053221289
0.022209	0.664556962025316	0.525	ABC.ABC.Score	0.58659217877095
0.022165	0.660377358490566	0.525	ABC.ABC.Score	0.584958217270195
0.022057	0.6625	0.53	ABC.ABC.Score	0.588888888888889
0.021936	0.664596273291925	0.535	ABC.ABC.Score	0.592797783933518
0.021882	0.660493827160494	0.535	ABC.ABC.Score	0.591160220994475
0.021624	0.662576687116564	0.54	ABC.ABC.Score	0.59504132231405
0.021591	0.664634146341463	0.545	ABC.ABC.Score	0.598901098901099
0.021554	0.660606060606061	0.545	ABC.ABC.Score	0.597260273972603
0.021464	0.652694610778443	0.545	ABC.ABC.Score	0.594005449591281
0.021442	0.654761904761905	0.55	ABC.ABC.Score	0.597826086956522
0.02135	0.650887573964497	0.55	ABC.ABC.Score	0.596205962059621
0.021202	0.647058823529412	0.55	ABC.ABC.Score	0.594594594594595
0.021023	0.649122807017544	0.555	ABC.ABC.Score	0.598382749326146
0.02093	0.651162790697674	0.56	ABC.ABC.Score	0.602150537634409
0.020707	0.653179190751445	0.565	ABC.ABC.Score	0.605898123324397
0.020567	0.655172413793103	0.57	ABC.ABC.Score	0.609625668449198
