predictor	min.sensitivity	cutoff	AUPRC	maxF1
Granja2019.CorrelationCancer	0.7	-1	0.0518790688352155	0.234833659491194
Granja2019.CorrelationHealthy	0.7	-1	0.117296766844014	0.236252545824847
Granja2019.PvalCancer	0.7	-1	0.0502437801377239	0.235546038543897
Granja2019.PvalHealthy	0.7	-1	0.111428438005734	0.23121387283237
Sheffield2013.pval	0.7	-1	0.0629751602961088	0.245614035087719
Sheffield2013.cor	0.7	-1	0.14788551309033	0.332631578947368
Fishilevich2017.GeneHancer.value	0.7	0	0.222614081562833	0.292134831460674
ENCODE2012.ENCODE2012.score	0.7	-1	0.0323890999567164	0.150684931506849
Andersson2014.Andersson2014.score	0.7	-1	0.15117408141575	0.30028328611898
hardcode.distance	0.7	-42781	0.419749085476535	0.497196261682243
