experimentalGenes	Granja2019	Sheffield2013	Fishilevich2017	ENCODE2012	Andersson2014
BLK	TRUE	TRUE	TRUE	TRUE	TRUE
CD40	TRUE	TRUE	TRUE	FALSE	TRUE
CD83	TRUE	TRUE	TRUE	TRUE	TRUE
ETS1	TRUE	TRUE	TRUE	TRUE	TRUE
ICOSLG	TRUE	TRUE	TRUE	TRUE	TRUE
IFNGR2	TRUE	TRUE	TRUE	TRUE	TRUE
IL10	TRUE	TRUE	TRUE	TRUE	TRUE
IL2RA	TRUE	TRUE	TRUE	TRUE	TRUE
IL6ST	TRUE	TRUE	TRUE	TRUE	TRUE
ITGAL	TRUE	TRUE	TRUE	FALSE	TRUE
PFKFB3	TRUE	TRUE	TRUE	TRUE	TRUE
PPIF	TRUE	TRUE	TRUE	TRUE	TRUE
SEPHS2	TRUE	TRUE	TRUE	TRUE	TRUE
MYC	TRUE	TRUE	TRUE	TRUE	TRUE
PTGER4	TRUE	TRUE	TRUE	TRUE	TRUE
SARS	TRUE	TRUE	TRUE	TRUE	FALSE
PSRC1	FALSE	TRUE	TRUE	TRUE	TRUE
SORT1	TRUE	TRUE	TRUE	TRUE	TRUE
PSMA5	TRUE	TRUE	TRUE	TRUE	FALSE
ALPP	FALSE	TRUE	TRUE	TRUE	TRUE
ATP1A2	FALSE	TRUE	TRUE	TRUE	TRUE
C2CD4C	FALSE	TRUE	TRUE	FALSE	TRUE
COL14A1	FALSE	TRUE	TRUE	TRUE	FALSE
CRYM	TRUE	TRUE	TRUE	TRUE	TRUE
DNMT3L	FALSE	TRUE	TRUE	TRUE	TRUE
ECEL1	FALSE	TRUE	TRUE	TRUE	TRUE
ECEL1P2	FALSE	TRUE	TRUE	TRUE	FALSE
FAM102B	TRUE	TRUE	TRUE	TRUE	TRUE
MFSD4B	FALSE	FALSE	TRUE	FALSE	FALSE
MOGS	TRUE	TRUE	TRUE	TRUE	FALSE
NCBP2	TRUE	TRUE	TRUE	TRUE	FALSE
NSMAF	FALSE	TRUE	TRUE	TRUE	TRUE
NTS	FALSE	TRUE	TRUE	FALSE	FALSE
PIFO	FALSE	FALSE	TRUE	FALSE	FALSE
PIGZ	FALSE	TRUE	TRUE	TRUE	TRUE
PPM1H	TRUE	TRUE	TRUE	FALSE	TRUE
RMND1	FALSE	TRUE	TRUE	TRUE	FALSE
