predictor	min.sensitivity	cutoff	AUPRC	maxF1
JEME.jeme_score	0.7	0	0.00767576134749249	0.0790960451977401
TargetFinder.TargetFinder_prediction	0.7	0	NA	0.0683760683760684
Roadmap.ConfidenceScore	0.7	0	0.0248199216241514	0.105960264900662
EnhancerAtlas2.EAGLE_score	0.7	0	0.0022546741356261	0.0520596411422795
ABC.ABC.Score	0.7	0.015086	0.589326123953399	0.598290598290598
hardcode.distance	0.7	-34427.5	0.399960070166317	0.436619718309859
closestGene.EachGeneIsRegulatedByClosestEnhancer	0.7	0	NA	0.153846153846154
closestEnhancer.EachEnhRegulatesClosestGene	0.7	0	NA	0.397905759162304
Rao2014Loop.Rao2014.Loop	0.7	0	NA	0.0672268907563025
Rao2014TAD.Rao2014.TAD	0.7	1	NA	0.123613312202853
