experimentalGenes	PCHiC	ABC	ABC.Matched	ABC.Matched.QuantPCHiC
CD83	TRUE	TRUE	TRUE	TRUE
ETS1	TRUE	TRUE	TRUE	TRUE
ICOSLG	TRUE	TRUE	TRUE	TRUE
IFNGR2	FALSE	TRUE	TRUE	TRUE
IL10	TRUE	TRUE	TRUE	TRUE
IL6ST	TRUE	TRUE	TRUE	TRUE
ITGAL	TRUE	TRUE	TRUE	TRUE
PFKFB3	TRUE	TRUE	TRUE	TRUE
PPIF	TRUE	TRUE	TRUE	TRUE
SEPHS2	TRUE	TRUE	TRUE	TRUE
MYC	TRUE	TRUE	TRUE	TRUE
PVT1-TSS1	FALSE	FALSE	FALSE	FALSE
CCDC26	FALSE	TRUE	TRUE	TRUE
SUOX	TRUE	TRUE	TRUE	TRUE
GATA1	TRUE	TRUE	TRUE	TRUE
HDAC6	TRUE	TRUE	TRUE	TRUE
PIM2	TRUE	TRUE	TRUE	TRUE
RBM38	TRUE	TRUE	TRUE	TRUE
RAE1	TRUE	TRUE	TRUE	TRUE
SMIM1	TRUE	TRUE	TRUE	TRUE
LRRC47	TRUE	TRUE	TRUE	TRUE
CEP104	TRUE	TRUE	TRUE	TRUE
FIG4	TRUE	TRUE	TRUE	TRUE
CD164	TRUE	TRUE	TRUE	TRUE
ALAS2	TRUE	TRUE	TRUE	TRUE
UROS	FALSE	TRUE	TRUE	TRUE
EPB41	TRUE	TRUE	TRUE	TRUE
KCNN4	TRUE	TRUE	TRUE	TRUE
MYO1D	TRUE	TRUE	TRUE	TRUE
TMEM98	TRUE	TRUE	TRUE	TRUE
SPACA3	TRUE	TRUE	FALSE	FALSE
HBBP1	TRUE	TRUE	TRUE	TRUE
HBG1	TRUE	TRUE	FALSE	FALSE
HBG2	TRUE	TRUE	FALSE	FALSE
HBE1	TRUE	TRUE	TRUE	TRUE
HBD	TRUE	TRUE	TRUE	TRUE
PIM1	TRUE	TRUE	TRUE	TRUE
FADS1	TRUE	TRUE	TRUE	TRUE
FTH1	TRUE	TRUE	TRUE	TRUE
PRKAR2B	TRUE	TRUE	TRUE	TRUE
REEP5	TRUE	TRUE	TRUE	TRUE
CNDP2	TRUE	TRUE	TRUE	TRUE
ZADH2	TRUE	TRUE	TRUE	TRUE
MRPS23	TRUE	TRUE	TRUE	TRUE
SMG8	TRUE	TRUE	TRUE	TRUE
MYB	TRUE	TRUE	TRUE	TRUE
EZH1	TRUE	TRUE	TRUE	TRUE
PRDX2	TRUE	TRUE	TRUE	TRUE
C19orf43	TRUE	TRUE	TRUE	TRUE
FUT1	TRUE	TRUE	TRUE	TRUE
H1FX	TRUE	TRUE	TRUE	TRUE
RNASEH2A	TRUE	TRUE	TRUE	TRUE
HNRNPA1	TRUE	TRUE	TRUE	TRUE
DHPS	TRUE	TRUE	TRUE	TRUE
FTL	TRUE	TRUE	TRUE	TRUE
RPN1	TRUE	TRUE	TRUE	TRUE
DNASE2	TRUE	TRUE	TRUE	TRUE
PPP1R15A	TRUE	TRUE	TRUE	TRUE
KLF1	TRUE	TRUE	TRUE	TRUE
RAD23A	TRUE	TRUE	TRUE	TRUE
NFE2	TRUE	TRUE	TRUE	TRUE
BCAT2	TRUE	TRUE	TRUE	TRUE
RAB7A	TRUE	TRUE	TRUE	TRUE
WDR83OS	TRUE	TRUE	TRUE	TRUE
LYL1	TRUE	TRUE	TRUE	TRUE
COPZ1	TRUE	TRUE	TRUE	TRUE
PQBP1	TRUE	TRUE	TRUE	TRUE
PLP2	TRUE	TRUE	TRUE	TRUE
NUCB1	TRUE	TRUE	TRUE	TRUE
CNBP	TRUE	TRUE	TRUE	TRUE
JUNB	TRUE	TRUE	TRUE	TRUE
ITGA5	TRUE	TRUE	TRUE	TRUE
BAX	TRUE	TRUE	TRUE	TRUE
SEC61A1	TRUE	TRUE	TRUE	TRUE
CALR	TRUE	TRUE	TRUE	TRUE
