alpha	precision	recall	pred.col	F1
Inf	NA	0	Roadmap.ConfidenceScore	NA
0	0.0657894736842105	1	Roadmap.ConfidenceScore	0.123456790123457
Inf	NA	0	ABC.ABC.Score	NA
0.04389	0	0	ABC.ABC.Score	0
0.040938	0	0	ABC.ABC.Score	0
0.038787	0	0	ABC.ABC.Score	0
0.03494	0	0	ABC.ABC.Score	0
0.020325	0	0	ABC.ABC.Score	0
0.019526	0	0	ABC.ABC.Score	0
0.01373	0	0	ABC.ABC.Score	0
0.012932	0	0	ABC.ABC.Score	0
0.009771	0	0	ABC.ABC.Score	0
0.009502	0	0	ABC.ABC.Score	0
0.006518	0	0	ABC.ABC.Score	0
0.006162	0.142857142857143	0.4	ABC.ABC.Score	0.210526315789474
0.005648	0.133333333333333	0.4	ABC.ABC.Score	0.2
0.005427	0.125	0.4	ABC.ABC.Score	0.19047619047619
0.004019	0.117647058823529	0.4	ABC.ABC.Score	0.181818181818182
0.003636	0.111111111111111	0.4	ABC.ABC.Score	0.173913043478261
0.003445	0.105263157894737	0.4	ABC.ABC.Score	0.166666666666667
0.003337	0.1	0.4	ABC.ABC.Score	0.16
0.003176	0.0952380952380952	0.4	ABC.ABC.Score	0.153846153846154
0.003074	0.0909090909090909	0.4	ABC.ABC.Score	0.148148148148148
0.002524	0.0869565217391304	0.4	ABC.ABC.Score	0.142857142857143
0.002499	0.0833333333333333	0.4	ABC.ABC.Score	0.137931034482759
0.002036	0.08	0.4	ABC.ABC.Score	0.133333333333333
0.002	0.0769230769230769	0.4	ABC.ABC.Score	0.129032258064516
0.001967	0.0740740740740741	0.4	ABC.ABC.Score	0.125
0.001559	0.0714285714285714	0.4	ABC.ABC.Score	0.121212121212121
0.001507	0.0689655172413793	0.4	ABC.ABC.Score	0.117647058823529
0.001392	0.0666666666666667	0.4	ABC.ABC.Score	0.114285714285714
0.001365	0.0645161290322581	0.4	ABC.ABC.Score	0.111111111111111
0.001022	0.0625	0.4	ABC.ABC.Score	0.108108108108108
0.000893	0.0606060606060606	0.4	ABC.ABC.Score	0.105263157894737
0.00087	0.0588235294117647	0.4	ABC.ABC.Score	0.102564102564103
0.000852	0.0571428571428571	0.4	ABC.ABC.Score	0.1
0.000708	0.0555555555555556	0.4	ABC.ABC.Score	0.0975609756097561
0.000703	0.0540540540540541	0.4	ABC.ABC.Score	0.0952380952380952
0.000645	0.0526315789473684	0.4	ABC.ABC.Score	0.0930232558139535
0.000626	0.0512820512820513	0.4	ABC.ABC.Score	0.0909090909090909
0.000172	0.05	0.4	ABC.ABC.Score	0.0888888888888889
0	0.0657894736842105	1	ABC.ABC.Score	0.123456790123457
Inf	NA	0	hardcode.distance	NA
-11326	0	0	hardcode.distance	0
-15634	0	0	hardcode.distance	0
-18667	0	0	hardcode.distance	0
-20942	0.25	0.2	hardcode.distance	0.222222222222222
-27284	0.2	0.2	hardcode.distance	0.2
-29397	0.333333333333333	0.4	hardcode.distance	0.363636363636364
-29918	0.428571428571429	0.6	hardcode.distance	0.5
-30601	0.5	0.8	hardcode.distance	0.615384615384615
-41808	0.444444444444444	0.8	hardcode.distance	0.571428571428571
-43396	0.4	0.8	hardcode.distance	0.533333333333333
-48540	0.363636363636364	0.8	hardcode.distance	0.5
-51591	0.333333333333333	0.8	hardcode.distance	0.470588235294118
-52970.5	0.307692307692308	0.8	hardcode.distance	0.444444444444444
-54581	0.285714285714286	0.8	hardcode.distance	0.421052631578947
-59812	0.266666666666667	0.8	hardcode.distance	0.4
-60982	0.25	0.8	hardcode.distance	0.380952380952381
-64809	0.235294117647059	0.8	hardcode.distance	0.363636363636364
-72191	0.222222222222222	0.8	hardcode.distance	0.347826086956522
-76406	0.210526315789474	0.8	hardcode.distance	0.333333333333333
-80934.5	0.2	0.8	hardcode.distance	0.32
-85237	0.19047619047619	0.8	hardcode.distance	0.307692307692308
-85819	0.181818181818182	0.8	hardcode.distance	0.296296296296296
