alpha	precision	recall	pred.col	F1
Inf	NA	0	Roadmap.ConfidenceScore	NA
0	0.123287671232877	1	Roadmap.ConfidenceScore	0.219512195121951
Inf	NA	0	ABC.ABC.Score	NA
0.063517	0	0	ABC.ABC.Score	0
0.051129	0.5	0.111111111111111	ABC.ABC.Score	0.181818181818182
0.046892	0.333333333333333	0.111111111111111	ABC.ABC.Score	0.166666666666667
0.041321	0.5	0.222222222222222	ABC.ABC.Score	0.307692307692308
0.030054	0.4	0.222222222222222	ABC.ABC.Score	0.285714285714286
0.029761	0.333333333333333	0.222222222222222	ABC.ABC.Score	0.266666666666667
0.025541	0.285714285714286	0.222222222222222	ABC.ABC.Score	0.25
0.022137	0.375	0.333333333333333	ABC.ABC.Score	0.352941176470588
0.020985	0.444444444444444	0.444444444444444	ABC.ABC.Score	0.444444444444444
0.020079	0.4	0.444444444444444	ABC.ABC.Score	0.421052631578947
0.017307	0.363636363636364	0.444444444444444	ABC.ABC.Score	0.4
0.016615	0.333333333333333	0.444444444444444	ABC.ABC.Score	0.380952380952381
0.016016	0.384615384615385	0.555555555555556	ABC.ABC.Score	0.454545454545455
0.01595	0.428571428571429	0.666666666666667	ABC.ABC.Score	0.521739130434783
0.015884	0.4	0.666666666666667	ABC.ABC.Score	0.5
0.015774	0.4375	0.777777777777778	ABC.ABC.Score	0.56
0.015625	0.411764705882353	0.777777777777778	ABC.ABC.Score	0.538461538461538
0.012396	0.368421052631579	0.777777777777778	ABC.ABC.Score	0.5
0.008866	0.4	0.888888888888889	ABC.ABC.Score	0.551724137931034
0.008601	0.380952380952381	0.888888888888889	ABC.ABC.Score	0.533333333333333
0.007238	0.363636363636364	0.888888888888889	ABC.ABC.Score	0.516129032258065
0.006004	0.333333333333333	0.888888888888889	ABC.ABC.Score	0.484848484848485
0.004827	0.32	0.888888888888889	ABC.ABC.Score	0.470588235294118
0.004616	0.307692307692308	0.888888888888889	ABC.ABC.Score	0.457142857142857
0.00419	0.296296296296296	0.888888888888889	ABC.ABC.Score	0.444444444444444
0.003621	0.285714285714286	0.888888888888889	ABC.ABC.Score	0.432432432432432
0.003221	0.266666666666667	0.888888888888889	ABC.ABC.Score	0.41025641025641
0.002504	0.258064516129032	0.888888888888889	ABC.ABC.Score	0.4
0.002201	0.25	0.888888888888889	ABC.ABC.Score	0.390243902439024
0.002095	0.242424242424242	0.888888888888889	ABC.ABC.Score	0.380952380952381
