alpha	precision	recall	pred.col	F1
Inf	NA	0	Roadmap.ConfidenceScore	NA
69.986	1	0.00704225352112676	Roadmap.ConfidenceScore	0.013986013986014
55.431	0.5	0.00704225352112676	Roadmap.ConfidenceScore	0.0138888888888889
45.418	0.333333333333333	0.00704225352112676	Roadmap.ConfidenceScore	0.0137931034482759
28.219	0.5	0.0140845070422535	Roadmap.ConfidenceScore	0.0273972602739726
21.967	0.4	0.0140845070422535	Roadmap.ConfidenceScore	0.0272108843537415
20.488	0.333333333333333	0.0140845070422535	Roadmap.ConfidenceScore	0.027027027027027
20.042	0.428571428571429	0.0211267605633803	Roadmap.ConfidenceScore	0.0402684563758389
14.942	0.5	0.028169014084507	Roadmap.ConfidenceScore	0.0533333333333333
12.071	0.444444444444444	0.028169014084507	Roadmap.ConfidenceScore	0.0529801324503311
11.895	0.5	0.0352112676056338	Roadmap.ConfidenceScore	0.0657894736842105
9.199	0.545454545454545	0.0422535211267606	Roadmap.ConfidenceScore	0.0784313725490196
9.103	0.5	0.0422535211267606	Roadmap.ConfidenceScore	0.0779220779220779
8.37	0.461538461538462	0.0422535211267606	Roadmap.ConfidenceScore	0.0774193548387097
7.907	0.428571428571429	0.0422535211267606	Roadmap.ConfidenceScore	0.0769230769230769
7.893	0.4	0.0422535211267606	Roadmap.ConfidenceScore	0.0764331210191083
7.723	0.4375	0.0492957746478873	Roadmap.ConfidenceScore	0.0886075949367089
7.042	0.411764705882353	0.0492957746478873	Roadmap.ConfidenceScore	0.0880503144654088
6.904	0.388888888888889	0.0492957746478873	Roadmap.ConfidenceScore	0.0875
6.81	0.368421052631579	0.0492957746478873	Roadmap.ConfidenceScore	0.0869565217391304
6.702	0.35	0.0492957746478873	Roadmap.ConfidenceScore	0.0864197530864197
6.162	0.333333333333333	0.0492957746478873	Roadmap.ConfidenceScore	0.0858895705521472
5.519	0.318181818181818	0.0492957746478873	Roadmap.ConfidenceScore	0.0853658536585366
5.493	0.304347826086957	0.0492957746478873	Roadmap.ConfidenceScore	0.0848484848484848
5.349	0.333333333333333	0.0563380281690141	Roadmap.ConfidenceScore	0.0963855421686747
4.906	0.32	0.0563380281690141	Roadmap.ConfidenceScore	0.0958083832335329
4.672	0.307692307692308	0.0563380281690141	Roadmap.ConfidenceScore	0.0952380952380952
4.645	0.296296296296296	0.0563380281690141	Roadmap.ConfidenceScore	0.0946745562130177
4.64	0.285714285714286	0.0563380281690141	Roadmap.ConfidenceScore	0.0941176470588235
4.451	0.275862068965517	0.0563380281690141	Roadmap.ConfidenceScore	0.0935672514619883
4.266	0.266666666666667	0.0563380281690141	Roadmap.ConfidenceScore	0.0930232558139535
4.162	0.258064516129032	0.0563380281690141	Roadmap.ConfidenceScore	0.092485549132948
3.9	0.25	0.0563380281690141	Roadmap.ConfidenceScore	0.0919540229885057
3.748	0.272727272727273	0.0633802816901408	Roadmap.ConfidenceScore	0.102857142857143
3.691	0.264705882352941	0.0633802816901408	Roadmap.ConfidenceScore	0.102272727272727
3.547	0.257142857142857	0.0633802816901408	Roadmap.ConfidenceScore	0.101694915254237
3.426	0.277777777777778	0.0704225352112676	Roadmap.ConfidenceScore	0.112359550561798
3.417	0.27027027027027	0.0704225352112676	Roadmap.ConfidenceScore	0.111731843575419
3.406	0.289473684210526	0.0774647887323944	Roadmap.ConfidenceScore	0.122222222222222
3.284	0.282051282051282	0.0774647887323944	Roadmap.ConfidenceScore	0.121546961325967
3.236	0.275	0.0774647887323944	Roadmap.ConfidenceScore	0.120879120879121
3.221	0.268292682926829	0.0774647887323944	Roadmap.ConfidenceScore	0.120218579234973
3.215	0.261904761904762	0.0774647887323944	Roadmap.ConfidenceScore	0.119565217391304
3.115	0.255813953488372	0.0774647887323944	Roadmap.ConfidenceScore	0.118918918918919
