chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	chrTSS	startTSS	endTSS	GeneSymbol	EffectSize	Significant	Regulated	IncludeInModel	Reason	CellType	padj	PowerAtEffectSize=0.25	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	name	Reference	expt.class
chr8	11349255	11350515	chr8	11351520	11351520	BLK	-0.3597988	TRUE	TRUE	TRUE		GM12878	1.86501301539141e-183	0.999999999962956	-0.428746602499925	-0.290850997500075	NA	NA	NA
chr8	11350589	11352209	chr8	11351520	11351520	BLK	-0.4315617	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	GM12878	0	0.999999999999974	-0.492220655979068	-0.370902744020932	NA	NA	NA
chr8	27182770	27183270	chr8	11351520	11351520	BLK	-0.0010364	FALSE	FALSE	FALSE	;Not cis pair	GM12878	0.97673885185452	1	-0.0276837480926785	0.0256109480926785	NA	NA	NA
chr20	44746135	44748232	chr20	44746892	44746892	CD40	-0.63924	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	GM12878	0	1	-0.689982668585053	-0.588497331414947	NA	NA	NA
chr6	14095567	14096067	chr6	14117864	14117864	CD83	-0.24885	TRUE	TRUE	TRUE		GM12878	3.35229276080193e-40	1	-0.286333779349609	-0.211366220650391	NA	NA	NA
chr6	14117614	14118430	chr6	14117864	14117864	CD83	-0.53686	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	GM12878	2.68948377102157e-62	0.999971705767359	-0.63507432870674	-0.43864567129326	NA	NA	NA
chr6	14118506	14119332	chr6	14117864	14117864	CD83	-0.32182	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	GM12878	1.5718976586445e-39	0.999999991177553	-0.395238658744873	-0.248401341255127	NA	NA	NA
chr6	14117366	14118274	chr6	14117864	14117864	CD83	-0.70971	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	Jurkat	1.89684628930163e-80	0.999932625311607	-0.811016224717346	-0.608403775282654	NA	NA	NA
chr6	14118800	14119300	chr6	14117864	14117864	CD83	-0.37756	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	Jurkat	5.80163054128138e-23	0.999972089751853	-0.46702601887886	-0.28809398112114	NA	NA	NA
chr11	128391955	128392615	chr11	128392205	128392205	ETS1	-0.470556	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	Jurkat	2.25004851633598e-164	0.999765002169364	-0.589979242648257	-0.351132757351743	NA	NA	NA
chr11	128480850	128481350	chr11	128392205	128392205	ETS1	-0.030639	FALSE	FALSE	TRUE		Jurkat	0.17297035485891	1	-0.0595495351620629	-0.00172846483793707	NA	NA	NA
chr11	128494390	128494890	chr11	128392205	128392205	ETS1	-0.021635	FALSE	FALSE	TRUE		Jurkat	0.351656521607594	0.999999999999418	-0.0806669328358469	0.0373969328358469	NA	NA	NA
chr11	128563560	128564769	chr11	128392205	128392205	ETS1	0.026756	FALSE	FALSE	TRUE		Jurkat	0.188882539522207	1	-0.00104669128172992	0.0545586912817299	NA	NA	NA
chr11	128391955	128393363	chr11	128392205	128392205	ETS1	-0.398705	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	GM12878	1.35638122387916e-205	0.999996208909291	-0.499484634245193	-0.297925365754807	NA	NA	NA
chr11	128422800	128423300	chr11	128392205	128392205	ETS1	-0.292727	TRUE	TRUE	TRUE		GM12878	9.14498706670505e-52	1	-0.334405952463869	-0.251048047536131	NA	NA	NA
chr11	128480315	128481964	chr11	128392205	128392205	ETS1	-0.132277	TRUE	TRUE	TRUE		GM12878	4.47096561083163e-29	1	-0.154774063902793	-0.109779936097207	NA	NA	NA
chr11	128494058	128494944	chr11	128392205	128392205	ETS1	-0.036419	TRUE	TRUE	TRUE		GM12878	0.00377657426108706	1	-0.0628933825070798	-0.00994461749292016	NA	NA	NA
chr11	128563455	128564187	chr11	128392205	128392205	ETS1	0.052791	TRUE	FALSE	TRUE		GM12878	0.000127041038019549	1	0.0240517030823071	0.0815302969176929	NA	NA	NA
chr21	45616066	45616566	chr21	45660887	45660887	ICOSLG	-0.63449	TRUE	TRUE	TRUE		THP1	3.19992740206983e-10	0.771338245742341	-0.777449356575163	-0.491530643424837	NA	NA	NA
chr21	45626602	45627102	chr21	45660887	45660887	ICOSLG	-0.31058	TRUE	TRUE	TRUE		THP1	0.01078109778234	0.618579715629744	-0.482333000478094	-0.138826999521906	NA	NA	NA
