QueryRegionName	chr	start	end	name	class	activity_base	TargetGene	TargetGeneTSS	TargetGeneExpression	TargetGenePromoterActivityQuantile	TargetGeneIsExpressed	distance	isSelfPromoter	hic_contact	powerlaw_contact	powerlaw_contact_reference	hic_contact_pl_scaled	hic_pseudocount	hic_contact_pl_scaled_adj	ABC.Score.Numerator	ABC.Score	powerlaw.Score.Numerator	powerlaw.Score	CellType	variant.chr	variant.start	variant.end	isOwnTSS	TargetGeneIsCoding	CredibleSet	Disease	pvalue	PosteriorProb	BestSNP	Coding	SpliceSite	Promoter	LocusID	Disease2
chr9:117571293	chr9	117571292	117571293	intergenic|chr9:117570679-117571634	intergenic	10.394033	LOC100505478	117444369	NA	0.608115	True	126787.5	False	0.002872	0.007408	0.007412	0.002874	0.001216	0.00409	0.042508	0.020643	0.077042	0.024431	Karpas-422-ENCODE	chr9	117571292	117571293	FALSE	TRUE	Huang2017-r104-1	IBD	27.22	0.4028	chr9:117571294	FALSE	FALSE	FALSE	379	IBD
chr9:117571293	chr9	117571292	117571293	intergenic|chr9:117570679-117571634	intergenic	10.394033	TNFSF8	117692875	NA	0.664535	True	121718.5	False	0.002999	0.007677	0.00768	0.003	0.001216	0.004216	0.043818	0.022155	0.079826	0.017589	Karpas-422-ENCODE	chr9	117571292	117571293	FALSE	TRUE	Huang2017-r104-1	IBD	27.22	0.4028	chr9:117571294	FALSE	FALSE	FALSE	379	IBD
chr9:117571293	chr9	117571292	117571293	intergenic|chr9:117570679-117571634	intergenic	10.394033	TNFSF15	117568408	NA	0.84402	True	2748.5	False	0.031633	0.125372	0.123436	0.031144	0.001216	0.03236	0.336349	0.119717	1.282998	0.17834	Karpas-422-ENCODE	chr9	117571292	117571293	FALSE	TRUE	Huang2017-r104-1	IBD	27.22	0.4028	chr9:117571294	FALSE	FALSE	FALSE	379	IBD
chr9:117571294	chr9	117571293	117571294	intergenic|chr9:117570679-117571634	intergenic	10.394033	LOC100505478	117444369	NA	0.608115	True	126787.5	False	0.002872	0.007408	0.007412	0.002874	0.001216	0.00409	0.042508	0.020643	0.077042	0.024431	Karpas-422-ENCODE	chr9	117571293	117571294	FALSE	TRUE	Huang2017-r104-1	IBD	27.22	0.4028	chr9:117571294	FALSE	FALSE	FALSE	379	IBD
chr9:117571294	chr9	117571293	117571294	intergenic|chr9:117570679-117571634	intergenic	10.394033	TNFSF15	117568408	NA	0.84402	True	2748.5	False	0.031633	0.125372	0.123436	0.031144	0.001216	0.03236	0.336349	0.119717	1.282998	0.17834	Karpas-422-ENCODE	chr9	117571293	117571294	FALSE	TRUE	Huang2017-r104-1	IBD	27.22	0.4028	chr9:117571294	FALSE	FALSE	FALSE	379	IBD
chr9:117571294	chr9	117571293	117571294	intergenic|chr9:117570679-117571634	intergenic	10.394033	TNFSF8	117692875	NA	0.664535	True	121718.5	False	0.002999	0.007677	0.00768	0.003	0.001216	0.004216	0.043818	0.022155	0.079826	0.017589	Karpas-422-ENCODE	chr9	117571293	117571294	FALSE	TRUE	Huang2017-r104-1	IBD	27.22	0.4028	chr9:117571294	FALSE	FALSE	FALSE	379	IBD
rs10600672	chr21	34769620	34769621	intergenic|chr21:34769107-34769781	intergenic	2.159504	IFNGR2	34775201	NA	0.521957	True	5757	False	0.019682	0.110825	0.109191	0.019392	0.001216	0.020608	0.044502	0.016306	0.235797	0.055201	astrocyte-ENCODE	chr21	34769620	34769621	FALSE	TRUE	Huang2017-nonFm210	IBD	NA	0.2	rs2284553	FALSE	FALSE	FALSE	232	Crohns_disease
rs10600672	chr21	34769620	34769621	intergenic|chr21:34769112-34769776	intergenic	5.171648	IFNGR2	34775201	NA	0.94635	True	5757	False	0.019682	0.110825	0.109191	0.019392	0.001216	0.020608	0.106575	0.023032	0.564695	0.05111	MCF10A_treated_with_TAM24hr-Ji2017	chr21	34769620	34769621	FALSE	TRUE	Huang2017-nonFm210	IBD	NA	0.2	rs2284553	FALSE	FALSE	FALSE	232	Crohns_disease
rs10600672	chr21	34769620	34769621	intergenic|chr21:34769216-34769797	intergenic	6.025139	IFNAR2	34602199	NA	0.801654	True	167307.5	False	0.004379	0.005812	0.005823	0.004388	0.001216	0.005604	0.033763	0.016023	0.035086	0.009845	osteoblast-ENCODE	chr21	34769620	34769621	FALSE	TRUE	Huang2017-nonFm210	IBD	NA	0.2	rs2284553	FALSE	FALSE	FALSE	232	Crohns_disease
rs10600672	chr21	34769620	34769621	intergenic|chr21:34769216-34769797	intergenic	6.025139	IL10RB-AS1	34638565	NA	0.562001	True	130941.5	False	0.0033	0.007202	0.007207	0.003302	0.001216	0.004518	0.027222	0.015196	0.043424	0.017026	osteoblast-ENCODE	chr21	34769620	34769621	FALSE	FALSE	Huang2017-nonFm210	IBD	NA	0.2	rs2284553	FALSE	FALSE	FALSE	232	Crohns_disease
rs10600672	chr21	34769620	34769621	intergenic|chr21:34769216-34769797	intergenic	6.025139	IL10RB	34638664	NA	0.569578	True	130842.5	False	0.0033	0.007206	0.007212	0.003302	0.001216	0.004518	0.027222	0.015195	0.043452	0.01704	osteoblast-ENCODE	chr21	34769620	34769621	FALSE	TRUE	Huang2017-nonFm210	IBD	NA	0.2	rs2284553	FALSE	FALSE	FALSE	232	Crohns_disease
rs10600672	chr21	34769620	34769621	intergenic|chr21:34769216-34769797	intergenic	6.025139	IFNAR1	34697213	NA	0.818885	True	72293.5	False	0.005549	0.01211	0.012084	0.005536	0.001216	0.006752	0.040684	0.020026	0.072806	0.023993	osteoblast-ENCODE	chr21	34769620	34769621	FALSE	TRUE	Huang2017-nonFm210	IBD	NA	0.2	rs2284553	FALSE	FALSE	FALSE	232	Crohns_disease
rs10600672	chr21	34769620	34769621	intergenic|chr21:34769216-34769797	intergenic	6.025139	IFNGR2	34775201	NA	0.69525	True	5694.5	False	0.019682	0.111888	0.110232	0.019391	0.001216	0.020606	0.124157	0.049132	0.664165	0.136441	osteoblast-ENCODE	chr21	34769620	34769621	FALSE	TRUE	Huang2017-nonFm210	IBD	NA	0.2	rs2284553	FALSE	FALSE	FALSE	232	Crohns_disease
