# Column definitions:   
# trait : GWAS phenotype
# CredibleSet : credible set ID for trait
# CredibleSet.AnyCodingVariant : TRUE if credible set contains a variant overlapping a coding sequence
# CredibleSet.AnySpliceSiteVariant : TRUE if credible set contains a variant within 10bp of a splice site of a coding gene
# CredibleSet.NoncodingWithSigVariant : TRUE if credible set does not contain a coding or splice site variant, and if it contains at least one variant with variant score above the specified threshold
# CredibleSet.AnyPrediction : TRUE if credible set has a prediction for this method
# CredibleSet.nNearbyGenes : Number of genes within distance threshold
# TargetGene : Gene Symbol
# TargetGene.chr : chromosome
# TargetGene.TSS : coordinate of gene transcription start site
# DistanceToTSS : Distance from best variant to the transcription start site
# DistanceToTSSRank : Rank among genes of the distance from best variant to the transcription start site
# Distance : Distance from best variant to the gene body
# DistanceRank : Rank among genes of the distance from best variant to the gene body
# GeneScore.* : Max score for this gene across cell types and variants
# CellTypes.* : Cell types in which the prediction is made
# Variants.* : Variants with variant scores above threshold responsible for the prediction
# GeneRank.* : Rank of the prediction score for this gene among other genes in the credible set
# GenePrediction.* : TRUE if gene is the gene with the max by this predictor for the credible set
# GenePredictionMax.* : TRUE if gene has the maximum score for this credible set
trait	CredibleSet	CredibleSet.AnyCodingVariant	CredibleSet.AnySpliceSiteVariant	CredibleSet.NoncodingWithSigVariant	CredibleSet.AnyPrediction	CredibleSet.nNearbyGenes	TargetGene	TargetGene.chr	TargetGene.TSS	DistanceToTSS	DistanceToTSSRank	Distance	DistanceRank	GeneScore.ABC	CellTypes.ABC	Variants.ABC	GeneRank.ABC	GenePrediction.ABC	GenePredictionMax.ABC
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	SGK2	chr20	42194736	1063343	42	1043806	42	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	IFT52	chr20	42219252	1038827	41	982143	41	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	MYBL2	chr20	42295658	962421	40	912943	39	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	GTSF1L	chr20	42355642	902437	35	902437	35	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	TOX2	chr20	42544781	713298	27	559825	22	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	JPH2	chr20	42816218	441861	17	441861	17	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	OSER1	chr20	42839546	418533	16	418533	16	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	GDAP1L1	chr20	42875897	382182	15	348522	15	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	FITM2	chr20	42939892	318187	12	318187	13	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	R3HDML	chr20	42965797	292282	10	278647	10	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	HNF4A	chr20	42984440	273639	9	196594	8	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	TTPAL	chr20	43104525	153554	6	134835	7	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	SERINC3	chr20	43150757	107322	4	107322	4	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	PKIG	chr20	43160421	97658	3	10401	2	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	ADA	chr20	43280399	22320	1	0	1	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	WISP2	chr20	43343484	85405	2	85404	3	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	KCNK15	chr20	43374487	116408	5	116407	5	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	RIMS4	chr20	43438979	180900	7	122364	6	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	YWHAB	chr20	43514239	256160	8	256159	9	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	PABPC1L	chr20	43560202	302123	11	302122	11	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	TOMM34	chr20	43589114	331035	13	312690	12	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	STK4	chr20	43595114	337035	14	337034	14	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	KCNS1	chr20	43729753	471674	18	461774	18	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	WFDC5	chr20	43743813	485734	19	480012	19	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	WFDC12	chr20	43753106	495027	20	493986	20	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	PI3	chr20	43803539	545460	21	545459	21	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	SEMG1	chr20	43835604	577525	22	577524	23	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	SEMG2	chr20	43850009	591930	23	591929	24	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	SLPI	chr20	43883205	625126	24	622799	25	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	RBPJL	chr20	43935482	677403	25	677402	27	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	MATN4	chr20	43937169	679090	26	664005	26	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	SDC4	chr20	43977064	718985	28	695848	28	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	SYS1	chr20	43991739	733660	29	733659	29	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	TP53TG5	chr20	44006957	748878	30	744439	30	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	DBNDD2	chr20	44036628	778549	31	778548	31	NA	NA	NA	NA	FALSE	FALSE
IBD	Huang2017-r171-2	FALSE	FALSE	TRUE	NA	42	PIGT	chr20	44044706	786627	32	786626	32	NA	NA	NA	NA	FALSE	FALSE
